"","date","id","title","polarity","type"
"119","2020-03-25","5545812","Telediario - 21 horas - 25/03/20",-0.0590909090909091,"verba"
"120","2020-03-24","5544851","Telediario - 15 horas - 24/03/20",-0.0693711967545639,"verba"
"121","2020-03-24","5545168","Telediario - 21 horas - 24/03/20",-0.0753086419753086,"verba"
"122","2020-03-21","5543326","Telediario - 15 horas - 21/03/20",-0.0904589371980676,"verba"
"123","2020-03-21","5543415"," Telediario - 21 horas - 21/03/20",-0.0638398115429918,"verba"
"124","2020-03-20","5542923","Telediario - 15 horas - 20/03/20",-0.0751288659793814,"verba"
"125","2020-03-20","5543119","Telediario - 21 horas - 20/03/20",-0.0654246100519931,"verba"
"126","2020-03-19","5542192","Telediario - 15 horas - 19/03/20",-0.0869791666666667,"verba"
"127","2020-03-19","5542353","Telediario - 21 horas - 19/03/20",-0.0897832817337461,"verba"
"128","2020-03-18","5541506","Telediario - 15 horas - 18/03/20",-0.104064039408867,"verba"
"129","2020-03-18","5541733","Telediario - 21 horas -  18/03/20",-0.111049284578696,"verba"
"130","2020-03-17","5541119","Telediario - 21 horas - 17/03/20",-0.0622464898595944,"verba"
"131","2020-03-16","5540294","Telediario - 15 horas - 16/03/20",-0.0637867647058823,"verba"
"132","2020-03-16","5540486","Telediario - 21 horas - 16/03/20",-0.0718934911242604,"verba"
"133","2020-03-15","5539639","Telediario - 15 horas - 15/03/20",-0.0697297297297297,"verba"
"134","2020-03-15","5539729","Telediario - 21 horas - 15/03/20",-0.0604674796747967,"verba"
"135","2020-04-01","x1245497648863469568","jaimeberenguer",0,"twitter"
"136","2020-04-01","x1245484565654880258","sanchezcastejon",0,"twitter"
"137","2020-04-01","x1245329138162032642","el_pais",-0.25,"twitter"
"138","2020-04-01","x1245495555108884480","BeatrizGMuller",-0.25,"twitter"
"139","2020-04-01","x1245495088844886016","ppmadrid",0,"twitter"
"140","2020-04-01","x1245224594379649024","desdelamoncloa",-0.75,"twitter"
"141","2020-04-01","x1245441282572529664","sanidadgob",-0.25,"twitter"
"142","2020-04-01","x1245155667188604930","petrogustavo",0,"twitter"
"143","2020-04-01","x1245264522631249920","Edomex",-1.25,"twitter"
"144","2020-04-01","x1245464749715972096","dw_espanol",0,"twitter"
"145","2020-04-01","x1245354379479265285","iescolar",0,"twitter"
"146","2020-04-01","x1245436564550885384","esterexposiito",0.5,"twitter"
"147","2020-04-01","x1245371107647074304","carmenlh7",0,"twitter"
"148","2020-04-01","x1245439939615100928","okdiario",0,"twitter"
"149","2020-04-01","x1245436434519113728","publico_es",0,"twitter"
"150","2020-04-01","x1245500913785151488","jordi_fdez00",-0.75,"twitter"
"151","2020-04-01","x1245500954004393987","MazzoleniJulio",0,"twitter"
"152","2020-04-01","x1245490498153873408","eldiarioes",0,"twitter"
"153","2020-04-01","x1245423749253513216","SaludPublicaEs",0,"twitter"
"154","2020-04-01","x1245435763359125504","evajgb",0,"twitter"
"155","2020-04-01","x1245469297197137921","CasaReal",-0.25,"twitter"
"156","2020-04-01","x1245225368937811968","policia",0.6,"twitter"
"157","2020-04-01","x1245300984399704064","PSOE",0.25,"twitter"
"158","2020-04-01","x1245260148005797888","FroilLannister",-0.75,"twitter"
"159","2020-04-01","x1245355739301855237","ZaraaSimon",-0.25,"twitter"
"160","2020-05-01","x1256347425247133696","policia",0,"twitter"
"161","2020-05-01","x1256316378031755270","SaludPublicaEs",-0.25,"twitter"
"162","2020-05-01","x1256204313761898499","lopezobrador_",0.1,"twitter"
"163","2020-05-01","x1256087352461660160","pablocasado_",-1.35,"twitter"
"164","2020-05-01","x1256143417966501889","JesusCintora",0,"twitter"
"165","2020-05-01","x1256367455540314117","Lenin",-0.25,"twitter"
"166","2020-05-01","x1256212570618212352","ActualidadRT",-0.25,"twitter"
"167","2020-05-01","x1256159353582821377","miotei",0.75,"twitter"
"168","2020-05-01","x1256180392517828608","nayibbukele",0,"twitter"
"169","2020-05-01","x1256352931437326337","eduardoinda",0.4,"twitter"
"170","2020-05-01","x1256334902783430657","Edomex",0.8,"twitter"
"171","2020-05-01","x1256316486957838337","24h_tve",-0.25,"twitter"
"172","2020-05-01","x1256362765071060994","Tunomandas",0,"twitter"
"173","2020-05-01","x1256371959098736646","senorapecas",0.6,"twitter"
"174","2020-05-01","x1256268866919038976","el_pais",0,"twitter"
"175","2020-05-01","x1256348657261182976","eldiarioes",0.25,"twitter"
"176","2020-05-01","x1256372808898273280","Mazzinguerzett1",-1,"twitter"
"177","2020-05-01","x1256280917561298944","Alvisepf",-0.25,"twitter"
"178","2020-05-01","x1256254438735515651","HLGatell",-0.5,"twitter"
"179","2020-05-01","x1256312607616561153","Monica_Garcia_G",-0.75,"twitter"
"180","2020-05-01","x1256343569369047043","iescolar",-0.25,"twitter"
"181","2020-05-01","x1256224513982955530","JonInarritu",-1.5,"twitter"
"182","2020-05-01","x1256167443472486400","JoaquimBoschGra",0,"twitter"
"183","2020-05-01","x1256350942041124864","alfredodelmazo",0,"twitter"
"184","2020-05-01","x1256275688799318016","MazzoleniJulio",0,"twitter"
"185","2020-04-02","x1245863154199846914","TeoGarciaEgea",0,"twitter"
"186","2020-04-02","x1245750691748089857","guardiacivil",0.05,"twitter"
"187","2020-04-02","x1245506322889674754","IdiazAyuso",-0.25,"twitter"
"188","2020-04-02","x1245775680127873026","CasaReal",-0.25,"twitter"
"189","2020-04-02","x1245715250395176964","mariapaularomo",0,"twitter"
"190","2020-04-02","x1245830769387454464","dw_espanol",0,"twitter"
"191","2020-04-02","x1245736695560941568","iescolar",0,"twitter"
"192","2020-04-02","x1245858524933963776","nayibbukele",0,"twitter"
"193","2020-04-02","x1245847771241803778","EFEnoticias",0,"twitter"
"194","2020-04-02","x1245774577277571073","ldpsincomplejos",-0.25,"twitter"
"195","2020-04-02","x1245781014313676800","policia",-1.3,"twitter"
"196","2020-04-02","x1245863544324632576","JPadillaH",0,"twitter"
"197","2020-04-02","x1245815739312943107","matthewbennett",0.25,"twitter"
"198","2020-04-02","x1245676946639540224","sanidadgob",-0.25,"twitter"
"199","2020-04-02","x1245809207917633537","SaludPublicaEs",0,"twitter"
"200","2020-04-02","x1245736347505250305","el_pais",-0.25,"twitter"
"201","2020-04-02","x1245822343756132353","BeAcevedoTachna",0,"twitter"
"202","2020-04-02","x1245613716567015424","frnperea",0,"twitter"
"203","2020-04-02","x1245781762472624128","PSOE",-0.8,"twitter"
"204","2020-04-02","x1245862880848670724","20m",0,"twitter"
"205","2020-04-02","x1245735966221852675","trinomonero",0,"twitter"
"206","2020-04-02","x1245860720824074245","petrogustavo",0,"twitter"
"207","2020-04-02","x1245825328250933248","eldiarioes",-0.8,"twitter"
"208","2020-04-02","x1245863581414907904","MazzoleniJulio",0.6,"twitter"
"209","2020-04-02","x1245822326274502657","evajgb",0,"twitter"
"210","2020-05-02","x1256660304525758469","agaviriau",0,"twitter"
"211","2020-05-02","x1256734875622813697","europapress",0,"twitter"
"212","2020-05-02","x1256681437018894336","24h_tve",0,"twitter"
"213","2020-05-02","x1256650216146644993","eldiarioes",0,"twitter"
"214","2020-05-02","x1256717030729883648","Sayo_cab75",0,"twitter"
"215","2020-05-02","x1256663463994277888","nayibbukele",-0.5,"twitter"
"216","2020-05-02","x1256705421584273408","IdiazAyuso",0,"twitter"
"217","2020-05-02","x1256734090537111553","CarlosFhinojos",0,"twitter"
"218","2020-05-02","x1256735179617509381","NoSoyLaGente",0,"twitter"
"219","2020-05-02","x1256624781241339913","sanchezcastejon",0,"twitter"
"220","2020-05-02","x1256534999723016193","sanidadgob",0.15,"twitter"
"221","2020-05-02","x1256732584253558784","Vilma_Meche",0,"twitter"
"222","2020-05-02","x1256606478850457601","vox_es",-0.75,"twitter"
"223","2020-05-02","x1256583403257958401","LaLiga",0,"twitter"
"224","2020-05-02","x1256563656306933760","HLGatell",0,"twitter"
"225","2020-05-02","x1256695668254691329","Arualemon",-0.75,"twitter"
"226","2020-05-02","x1256695148702052359","Ponte_Pila",0,"twitter"
"227","2020-05-02","x1256662136467619841","iBarbarellah",0,"twitter"
"228","2020-05-02","x1256735195585183745","blonstark",0,"twitter"
"229","2020-05-02","x1256731322585960451","Edomex",0.8,"twitter"
"230","2020-05-02","x1256704721517195264","mcarmonamoreno",0,"twitter"
"231","2020-05-02","x1256588558858686464","alfredodelmazo",0,"twitter"
"232","2020-05-02","x1256699423641477125","el_pais",-0.25,"twitter"
"233","2020-05-02","x1256735193819312129","antoniobanderas",-0.75,"twitter"
"234","2020-05-02","x1256402778592808960","MazzoleniJulio",0,"twitter"
"235","2020-04-03","x1246225960275492864","evajgb",0,"twitter"
"236","2020-04-03","x1246218944463200262","JuanfraEscudero",0,"twitter"
"237","2020-04-03","x1245906606954512384","RubenSanchezTW",0,"twitter"
"238","2020-04-03","x1246225327199866880","okdiario",0,"twitter"
"239","2020-04-03","x1246223819112620032","CNNEE",0,"twitter"
"240","2020-04-03","x1246074370881019909","CarnetDLaPatria",0,"twitter"
"241","2020-04-03","x1246075706527764480","sanidadgob",0,"twitter"
"242","2020-04-03","x1246222569356824578","petrogustavo",0,"twitter"
"243","2020-04-03","x1246214794388148224","SaludPublicaEs",-0.25,"twitter"
"244","2020-04-03","x1246168714371833856","GuajeSalvaje",-0.25,"twitter"
"245","2020-04-03","x1246225671090769920","BeAcevedoTachna",0,"twitter"
"246","2020-04-03","x1246157068219940866","javigomezTV",-1.35,"twitter"
"247","2020-04-03","x1246079769353076739","abc_es",0,"twitter"
"248","2020-04-03","x1246136913720946696","pablocasado_",0,"twitter"
"249","2020-04-03","x1246225957616259078","_lauratf",0,"twitter"
"250","2020-04-03","x1246106331016310784","iescolar",0,"twitter"
"251","2020-04-03","x1246135932744536064","eldiarioes",-0.8,"twitter"
"252","2020-04-03","x1246147451616137223","oriolmitja",-0.75,"twitter"
"253","2020-04-03","x1246110766500941825","realmadrid",0,"twitter"
"254","2020-04-03","x1246225101978128385","JPadillaH",0,"twitter"
"255","2020-04-03","x1246115250719600641","UMEgob",0,"twitter"
"256","2020-04-03","x1246081578972971009","el_pais",-0.25,"twitter"
"257","2020-04-03","x1246123610672115715","NewsReputation",0.25,"twitter"
"258","2020-04-03","x1246002719812435968","edugaresp",-0.75,"twitter"
"259","2020-04-03","x1246014177774362624","nayibbukele",-0.25,"twitter"
"260","2020-05-03","x1256737938106277888","yeidckol",0,"twitter"
"261","2020-05-03","x1256994105298690049","chuckiclampy",-0.4,"twitter"
"262","2020-05-03","x1256835759694319617","desdelamoncloa",0,"twitter"
"263","2020-05-03","x1257043592809451521","iescolar",-0.25,"twitter"
"264","2020-05-03","x1256948555106967552","rosadiezglez",0,"twitter"
"265","2020-05-03","x1257092486796902402","carloscuestaEM",-0.25,"twitter"
"266","2020-05-03","x1257058487785398278","eduardoinda",0.8,"twitter"
"267","2020-05-03","x1256737516285239297","CancilleriaVE",0,"twitter"
"268","2020-05-03","x1257097562823233536","mcarmonamoreno",0,"twitter"
