"","date","id","title","polarity"
"124",2020-04-03,"5551269","Telediario - 15 horas - 03/04/20",-0.0663201663201663
"125",2020-04-03,"5551490","Telediario - 21 horas - 03/04/20",-0.0833333333333333
"126",2020-04-02,"5550613","Telediario - 15 horas - 02/04/20",-0.0885371179039301
"127",2020-04-02,"5550802","Telediario - 21 horas - 02/04/20",-0.105018939393939
"128",2020-04-01,"5549943","Telediario - 15 horas - 01/04/20",-0.0935406698564593
"129",2020-04-01,"5550138","Telediario - 21 horas - 01/04/20",-0.0965263157894737
"130",2020-03-31,"5549179","Telediario - 15 horas - 31/03/20",-0.0902709359605911
"131",2020-03-31,"5549418","Telediario - 21 horas - 31/03/20",-0.0917330677290837
"132",2020-03-30,"5548349","Telediario - 15 horas - 30/03/20",-0.049078947368421
"133",2020-03-30,"5548662","Telediario - 21 horas - 30/03/20",-0.0928308823529412
"134",2020-03-29,"5547803","Telediario - 15 horas - 29/03/20",-0.0836185819070905
"135",2020-03-29,"5547872","Telediario - 21 horas - 29/03/20",-0.0482897384305835
"136",2020-03-28,"5547490","Telediario - 15 horas - 28/03/20",-0.0825352112676056
"137",2020-03-28,"5547600","Telediario - 21 horas - 28/03/20",-0.0336538461538462
"138",2020-03-27,"5547093","Telediario - 15 horas - 27/03/20",-0.0819718309859155
"139",2020-03-27,"5547305","Telediario - 21 horas - 27/03/20",-0.0649328859060403
"140",2020-03-26,"5546322","Telediario - 15 horas - 26/03/20",-0.0758495145631068
"141",2020-03-26,"5546563","Telediario - 21 horas - 26/03/20",-0.0598949211908932
"142",2020-03-25,"5545658","Telediario - 15 horas - 25/03/20",-0.0776008492569002
"143",2020-03-25,"5545812","Telediario - 21 horas - 25/03/20",-0.0590909090909091
"144",2020-03-24,"5544851","Telediario - 15 horas - 24/03/20",-0.0693711967545639
"145",2020-03-24,"5545168","Telediario - 21 horas - 24/03/20",-0.0753086419753086
"146",2020-03-21,"5543326","Telediario - 15 horas - 21/03/20",-0.0904589371980676
"147",2020-03-21,"5543415"," Telediario - 21 horas - 21/03/20",-0.0638398115429918
"148",2020-03-20,"5542923","Telediario - 15 horas - 20/03/20",-0.0751288659793814
"149",2020-03-20,"5543119","Telediario - 21 horas - 20/03/20",-0.0654246100519931
"150",2020-03-19,"5542192","Telediario - 15 horas - 19/03/20",-0.0869791666666667
"151",2020-03-19,"5542353","Telediario - 21 horas - 19/03/20",-0.0897832817337461
"152",2020-03-18,"5541506","Telediario - 15 horas - 18/03/20",-0.104064039408867
"153",2020-03-18,"5541733","Telediario - 21 horas -  18/03/20",-0.111049284578696
"154",2020-03-17,"5541119","Telediario - 21 horas - 17/03/20",-0.0622464898595944
"155",2020-03-16,"5540294","Telediario - 15 horas - 16/03/20",-0.0637867647058823
"156",2020-03-16,"5540486","Telediario - 21 horas - 16/03/20",-0.0718934911242604
"157",2020-03-15,"5539639","Telediario - 15 horas - 15/03/20",-0.0697297297297297
"158",2020-03-15,"5539729","Telediario - 21 horas - 15/03/20",-0.0604674796747967
